"Name","Location","Type","Namespace"
"__ct","806dd2d8","Function","GeoObj::ObjFloating"
"ObjBalloon_construct","806dd2d8","Function","Global"
"__dt","806dd440","Function","GeoObj::ObjFloating"
"Setup","806dd480","Function","GeoObj::ObjFloating"
"DrawDebug","806dd5dc","Function","GeoObj::ObjFloating"
"Update","806dd5e0","Function","GeoObj::ObjFloating"
"FUN_806dd7d0","806dd7d0","Function","Global"
"updateShadow?","806dd858","Function","GeoObj::ObjFloating"
"FUN_806dd924","806dd924","Function","GeoObj::ObjFloating"
"LoadFlags","806dd92c","Function","GeoObj::ObjFloating"
"__ct","806dd934","Function","GeoObj::ObjOil"
"__dt","806dd998","Function","GeoObj::ObjOil"
"OnCollision","806dd9d8","Function","GeoObj::ObjOil"
"OnItemCollision","806dda54","Function","GeoObj::ObjOil"
"OnWallCollision","806dda80","Function","GeoObj::ObjOil"
"__ct","806dda84","Function","GeoObj::ObjSniper"
"__dt","806ddaf4","Function","GeoObj::ObjSniper"
"Setup","806ddb34","Function","GeoObj::ObjSniper"
"Calc","806ddc44","Function","GeoObj::ObjSniper"
"__ct","806ddcb0","Function","GeoObj::ObjSoundSource"
"__dt","806ddd20","Function","GeoObj::ObjSoundSource"
"Setup","806ddda0","Function","GeoObj::ObjSoundSource"
"Update","806dddbc","Function","GeoObj::ObjSoundSource"
"LoadFlags","806dddc0","Function","GeoObj::ObjSoundSource"
"InitRenderGroups","806dddc8","Function","GeoObj::ObjSoundSource"
"LoadRoute","806dddcc","Function","GeoObj::ObjSoundSource"
"LoadCollision","806dddd0","Function","GeoObj::ObjSoundSource"
"LoadGraphics","806dddd4","Function","GeoObj::ObjSoundSource"
"__ct","806dddd8","Function","GeoObj::ObjSunDS"
"FUN_806ddf04","806ddf04","Function","Global"
"__dt","806ddf68","Function","GeoObj::ObjSunDS"
"Setup","806ddfd4","Function","GeoObj::ObjSunDS"
"Calc","806de03c","Function","GeoObj::ObjSunDS"
"enterState0","806de1c8","Function","GeoObj::ObjSunDS"
"calcState0","806de1e4","Function","GeoObj::ObjSunDS"
"enterState1","806de408","Function","GeoObj::ObjSunDS"
"calcState1","806de454","Function","GeoObj::ObjSunDS"
"FUN_806de458","806de458","Function","Global"
"FUN_806de4e4","806de4e4","Function","Global"
"FUN_806de510","806de510","Function","Global"
"FUN_806de568","806de568","Function","Global"
"FUN_806de598","806de598","Function","GeoObj::ObjSunDS"
"FUN_806de5c8","806de5c8","Function","Global"
"LoadAnims","806de5d0","Function","GeoObj::ObjSunDS"
"LoadFlags","806de614","Function","GeoObj::ObjSunDS"
"FUN_806de61c","806de61c","Function","Global"
"__ct","806de624","Function","GeoObj::ObjSunManager"
"__dt","806de780","Function","GeoObj::ObjSunManager"
"__ct","806de7fc","Function","GeoObj::ObjTaimatsu"
"__dt","806de914","Function","GeoObj::ObjTaimatsu"
"Setup","806de9b0","Function","GeoObj::ObjTaimatsu"
"Update","806dea1c","Function","GeoObj::ObjTaimatsu"
"__ct","806deb40","Function","GeoObj::ObjTruckChimSmk"
"__dt","806ded34","Function","GeoObj::ObjTruckChimSmk"
"Setup","806ded74","Function","GeoObj::ObjTruckChimSmk"
"Update","806def0c","Function","GeoObj::ObjTruckChimSmk"
"OnCollision","806df3f4","Function","GeoObj::ObjTruckChimSmk"
"OnItemCollision","806df558","Function","GeoObj::ObjTruckChimSmk"
"UpdateCollision","806df584","Function","GeoObj::ObjTruckChimSmk"
"DrawDebug","806df67c","Function","GeoObj::ObjTruckChimSmk"
"FUN_806df680","806df680","Function","Global"
"OnWallCollision","806df770","Function","GeoObj::ObjTruckChimSmk"
"LoadAnims","806df774","Function","GeoObj::ObjTruckChimSmk"
"FUN_806df7c0","806df7c0","Function","Global"
"LoadFlags","806df7c8","Function","GeoObj::ObjTruckChimSmk"
"__ct","806df7d0","Function","GeoObj::ObjChimSmkW"
"LoadGraphics","806df94c","Function","GeoObj::ObjChimSmkW"
"FUN_806df95c","806df95c","Function","Global"
"LoadAnims","806df960","Function","GeoObj::ObjChimSmkW"
"FUN_806df9b8","806df9b8","Function","Global"
"FUN_806df9cc","806df9cc","Function","Global"
"Setup","806dfa64","Function","GeoObj::ObjChimSmkW"
"Update","806dfb18","Function","GeoObj::ObjChimSmkW"
"__dt","806dfccc","Function","GeoObj::ObjChimSmkW"
"FUN_806dfd0c","806dfd0c","Function","Global"
"FUN_806dfd14","806dfd14","Function","GeoObj::ObjTrackWagonLOD"
"FUN_806dfd94","806dfd94","Function","GeoObj::ObjTrackWagonLOD"
"FUN_806dfe34","806dfe34","Function","Global"
"FUN_806dfe84","806dfe84","Function","Global"
"__ct","806dfe9c","Function","GeoObj::ObjTruckWagonCart"
"FUN_806e0050","806e0050","Function","GeoObj::ObjTrackWagonLOD"
"FUN_806e0090","806e0090","Function","Global"
"__dt","806e00f4","Function","GeoObj::ObjTruckWagonCart"
"Setup","806e0160","Function","GeoObj::ObjTruckWagonCart"
"vf_f8","806e01c0","Function","GeoObj::ObjTruckWagonCart"
"vf10","806e03e4","Function","GeoObj::ObjTruckWagonCart"
"Update","806e03e8","Function","GeoObj::ObjTruckWagonCart"
"OnCollision","806e0650","Function","GeoObj::ObjTruckWagonCart"
"OnItemCollision","806e0834","Function","GeoObj::ObjTruckWagonCart"
"UpdateShadow","806e0b30","Function","GeoObj::ObjTruckWagonCart"
"EnterState0","806e0d48","Function","GeoObj::ObjTruckWagonCart"
"CalcState0And2","806e0df0","Function","GeoObj::ObjTruckWagonCart"
"Interpolate","806e1248","Function","GeoObj::ObjTruckWagonCart"
"EnterState1","806e12d0","Function","GeoObj::ObjTruckWagonCart"
"CalcState1","806e1370","Function","GeoObj::ObjTruckWagonCart"
"EnterState2","806e17f4","Function","GeoObj::ObjTruckWagonCart"
"CalcState0And2","806e1894","Thunk Function","GeoObj::ObjTruckWagonCart"
"EnterState3","806e1898","Function","GeoObj::ObjTruckWagonCart"
"CalcState3","806e1940","Function","GeoObj::ObjTruckWagonCart"
"FUN_806e1dd0","806e1dd0","Function","Global"
"FUN_806e1e34","806e1e34","Function","Global"
"vf_f4","806e1f20","Function","GeoObj::ObjTruckWagonCart"
"FUN_806e1f90","806e1f90","Function","Global"
"vf_ec","806e2060","Function","GeoObj::ObjTruckWagonCart"
"__ct","806e206c","Function","GeoObj::ObjTruckWagon"
"ObjTruckWagon_construct","806e206c","Function","Global"
"__dt","806e21ec","Function","GeoObj::ObjTruckWagon"
"Setup","806e222c","Function","GeoObj::ObjTruckWagon"
"FUN_806e239c","806e239c","Function","Global"
"vf10","806e23a0","Function","GeoObj::ObjTruckWagon"
"Update","806e23a4","Function","GeoObj::ObjTruckWagon"
"FUN_806e248c","806e248c","Function","Global"
"InitRenderGroups","806e24dc","Function","GeoObj::ObjTruckWagon"
"LoadCollision","806e24e0","Function","GeoObj::ObjTruckWagon"
"LoadRoute","806e24e4","Function","GeoObj::ObjTruckWagon"
"LoadGraphics","806e24e8","Function","GeoObj::ObjTruckWagon"
"LoadFlags","806e24ec","Function","GeoObj::ObjTruckWagon"
"vf_fc","806e24f4","Function","GeoObj::ObjTruckWagonCart"
"vf_f0","806e24fc","Function","GeoObj::ObjTruckWagonCart"
"FUN_806e256c","806e256c","Function","Global"
"LoadAnims","806e2574","Function","GeoObj::ObjTruckWagonCart"
"InitBoundingCollision","806e2604","Thunk Function","GeoObj::GeoObjectCollidable"
"LoadShadowModel","806e2608","Thunk Function","GeoObj::GeoObject"
"GetName","806e260c","Function","GeoObj::ObjTruckWagonCart"
"GetModelName","806e2618","Function","GeoObj::ObjTruckWagonCart"
"UpdateCollision","806e2624","Function","GeoObj::ObjTruckWagonCart"
"LoadFlags","806e2744","Function","GeoObj::ObjTruckWagonCart"
"FUN_806e274c","806e274c","Function","Global"
"FUN_806e27a4","806e27a4","Function","Global"
"FUN_806e2804","806e2804","Function","Global"
"FUN_806e2860","806e2860","Function","Global"
"FUN_806e286c","806e286c","Function","Global"
"FUN_806e2878","806e2878","Function","Global"
"FUN_806e287c","806e287c","Function","Global"
"FUN_806e2880","806e2880","Function","Global"
"FUN_806e2888","806e2888","Function","Global"
"FUN_806e28c8","806e28c8","Function","Global"
"LoadCollision","806e28d0","Function","GeoObj::ObjTrackWagonLOD"
"LoadShadowModel","806e28d4","Function","GeoObj::ObjTrackWagonLOD"
"GetName","806e28d8","Function","GeoObj::ObjTrackWagonLOD"
"GetModelName","806e28e4","Function","GeoObj::ObjTrackWagonLOD"
"FUN_806e28f0","806e28f0","Function","GeoObj::ObjTrackWagonLOD"
"LoadFlags","806e28f4","Function","GeoObj::ObjTrackWagonLOD"
"FUN_806e28fc","806e28fc","Function","Global"
